staffCode;actCode;scheduledHours;projCode;
198-0066;F00732;15;P15-001;
198-0063;B10115;15;P15-002;
198-0063;B10117;15;P15-002;
198-0063;B10118;30;P15-002;
198-0063;D20441;20;P15-002;
198-0063;F00731;15;P15-002;
198-0060;C20431;20;P15-002;
198-0060;C20432;60;P15-002;
198-0060;C20433;40;P15-002;
198-0064;C20431;20;P15-002;
198-0064;C20432;60;P15-002;
198-0064;C20433;40;P15-002;
198-0068;E10054;15;P15-002;
198-0068;E10055;15;P15-002;
198-0068;E10056;20;P15-002;
198-0070;E10054;15;P15-002;
198-0070;E10055;15;P15-002;
198-0070;E10056;20;P15-002;
198-0070;D20440;25;P15-002;
198-0070;F00730;30;P15-002;
198-0072;B10118;15;P15-002;
198-0072;E10054;20;P15-002;
198-0072;F00730;40;P15-002;
198-0072;F00732;40;P15-002;
198-0065;B10115;10;P16-001;
198-0065;B10117;5;P16-001;
198-0065;B10118;8;P16-001;
198-0065;E10054;8;P16-001;
198-0065;E10055;8;P16-001;
198-0062;E10056;8;P16-001;
198-0062;C20431;10;P16-001;
198-0062;C20432;10;P16-001;
198-0062;C20433;5;P16-001;
198-0062;D20440;7;P16-001;
198-0062;D20441;6;P16-001;
198-0066;F00730;10;P16-001;
198-0066;F00731;5;P16-001;
198-0066;F00732;15;P16-001;
198-0067;B10115;10;P16-002;
198-0067;B10117;10;P16-002;
198-0067;B10118;20;P16-002;
198-0067;D20441;15;P16-002;
198-0067;F00731;10;P16-002;
198-0060;E10055;15;P16-002;
198-0060;E10056;20;P16-002;
198-0060;C20431;40;P16-002;
198-0060;F00732;50;P16-002;
198-0064;E10054;20;P16-002;
198-0064;C20432;50;P16-002;
198-0064;C20433;20;P16-002;
198-0064;D20440;40;P16-002;
198-0068;D20440;20;P16-002;
198-0068;D20441;20;P16-002;
198-0068;F00730;40;P16-002;
198-0068;F00731;15;P16-002;
198-0068;F00732;50;P16-002;
198-0070;B10115;10;P16-002;
198-0070;B10117;10;P16-002;
198-0070;B10118;20;P16-002;
198-0070;E10054;25;P16-002;
198-0072;D20440;15;P16-002;
198-0072;D20441;15;P16-002;
198-0072;F00730;40;P16-002;
198-0072;F00731;20;P16-002;
198-0072;F00732;50;P16-002;
198-0069;B10115;8;P17-001;
198-0069;B10117;8;P17-001;
198-0069;B10118;15;P17-001;
198-0069;D20441;10;P17-001;
198-0069;F00731;8;P17-001;
198-0056;E10055;10;P17-001;
198-0056;E10056;15;P17-001;
198-0056;C20431;30;P17-001;
198-0056;F00732;40;P17-001;
198-0062;E10054;8;P17-001;
198-0062;C20432;15;P17-001;
198-0062;C20433;8;P17-001;
198-0062;D20440;15;P17-001;
198-0066;E10054;8;P17-001;
198-0066;C20432;15;P17-001;
198-0066;C20433;8;P17-001;
198-0066;D20440;15;P17-001;
198-0070;B10115;10;P17-001;
198-0070;B10117;10;P17-001;
198-0070;B10118;10;P17-001;
198-0070;E10054;15;P17-001;
198-0071;B10115;10;P17-002;
198-0071;B10117;5;P17-002;
198-0071;B10118;8;P17-002;
198-0071;E10054;8;P17-002;
198-0071;E10055;8;P17-002;
198-0060;E10056;8;P17-002;
198-0060;C20431;10;P17-002;
198-0060;C20432;10;P17-002;
198-0060;C20433;5;P17-002;
198-0060;D20440;7;P17-002;
198-0060;D20441;6;P17-002;
198-0064;F00730;10;P17-002;
198-0064;F00731;5;P17-002;
198-0064;F00732;15;P17-002;
